1002,0.0,0.0,34.0,66.0,71.0,10727.0,10100.0,16694.0,4846.0,6052.0,4991.0,3280.0,1761.0,1
2201,0.0,0.0,48.0,80.0,26.0,11102.0,15850.0,2438.0,6336.0,2253.0,8976.0,1281.0,981.0,1
3099,0.0,0.0,43.0,81.0,-2.0,28872.0,15116.0,24887.0,2144.0,11779.0,8312.0,1907.0,1416.0,1
3999,0.0,0.0,43.0,80.0,37.0,11263.0,10563.0,6511.0,3991.0,9459.0,3614.0,2678.0,1658.0,1
5201,0.0,0.0,44.0,75.0,-6.0,10317.0,6053.0,7613.0,2529.0,6387.0,2885.0,2714.0,1548.0,1
6102,0.0,0.0,41.0,83.0,42.0,13956.0,10921.0,12228.0,5779.0,6380.0,7786.0,1124.0,1364.0,1
7002,0.0,0.0,50.0,74.0,-18.0,14114.0,11480.0,4095.0,5764.0,4847.0,13257.0,2217.0,2759.0,1
8200,0.0,0.0,53.0,66.0,33.0,5073.0,13413.0,1092.0,5657.0,6822.0,5400.0,4256.0,5761.0,1
9101,0.0,0.0,56.0,66.0,22.0,12476.0,8303.0,3933.0,6509.0,4609.0,4532.0,4263.0,1959.0,1
10001,0.0,0.0,53.0,61.0,-3.0,1673.0,24420.0,11188.0,4422.0,5241.0,7171.0,1067.0,1993.0,1
11203,0.0,0.0,41.0,66.0,23.0,351996.0,40005.0,23963.0,13336.0,17304.0,9439.0,4880.0,1867.0,1
12098,0.0,0.0,41.0,81.0,25.0,3360.0,12199.0,14924.0,11438.0,5850.0,10334.0,2801.0,1346.0,1
12999,0.0,0.0,38.0,84.0,28.0,5539.0,8754.0,10948.0,6001.0,8750.0,3718.0,2124.0,2116.0,1
14201,0.0,0.0,30.0,91.0,67.0,7014.0,9993.0,6232.0,5032.0,3315.0,1812.0,1479.0,1181.0,1
15101,0.0,0.0,35.0,93.0,32.0,8329.0,8487.0,8534.0,3229.0,4074.0,3554.0,2543.0,1666.0,1
16002,0.0,0.0,30.0,90.0,-8.0,12955.0,26336.0,15864.0,10440.0,4894.0,9521.0,3296.0,1647.0,1
17199,0.0,0.0,44.0,81.0,-20.0,2683.0,2771.0,1211.0,4271.0,3291.0,7584.0,2179.0,2113.0,1
18099,0.0,0.0,41.0,66.0,35.0,515805.0,121558.0,17251.0,11938.0,11623.0,7716.0,4085.0,2138.0,1
19000,0.0,0.0,43.0,60.0,43.0,7083.0,10542.0,2293.0,5616.0,4130.0,4574.0,2503.0,490.0,1
19901,0.0,0.0,37.0,53.0,50.0,9835.0,28080.0,9275.0,2427.0,4513.0,3315.0,1841.0,1308.0,1
21101,0.0,0.0,21.0,69.0,54.0,20401.0,1771.0,16940.0,10280.0,4612.0,4068.0,2091.0,1524.0,1
22000,0.0,0.0,34.0,88.0,58.0,2733.0,2946.0,13756.0,3962.0,6120.0,4947.0,2423.0,1375.0,1
22901,0.0,0.0,23.0,100.0,40.0,3419.0,7479.0,14220.0,16861.0,2338.0,2390.0,972.0,1287.0,1
24101,0.0,0.0,24.0,100.0,85.0,14128.0,8918.0,9181.0,1916.0,3118.0,1882.0,1237.0,1357.0,1
25002,0.0,0.0,21.0,91.0,23.0,3986.0,18028.0,1809.0,8858.0,8580.0,2409.0,3620.0,935.0,1
25900,0.0,0.0,23.0,80.0,16.0,5093.0,6017.0,6851.0,2500.0,9928.0,5173.0,2318.0,1002.0,1
27103,0.0,0.0,35.0,51.0,44.0,11320.0,12778.0,1834.0,1668.0,1711.0,4492.0,1998.0,1388.0,1
