701,0.0,0.0,51.0,61.0,-82.0,804495.0,1185823.0,63783.0,76918.0,38442.0,44093.0,17039.0,5495.0,1,5,2,2,4
1602,0.0,0.0,60.0,51.0,210.0,205199.0,15130.0,2175.0,1996.0,1214.0,3258.0,2513.0,203.0,1,5,2,2,4
2503,0.0,0.0,56.0,60.0,2.0,95402.0,5344.0,6453.0,3637.0,1506.0,2709.0,1586.0,285.0,1,5,2,2,4
3697,0.0,0.0,51.0,61.0,8.0,804665.0,321096.0,155712.0,45566.0,26601.0,50030.0,34578.0,2895.0,1,5,2,2,4
4602,0.0,0.0,66.0,78.0,-102.0,1895915.0,862114.0,657787.0,79344.0,184402.0,188981.0,175623.0,15794.0,1,5,2,2,4
5498,0.0,0.0,53.0,87.0,163.0,1200006.0,301342.0,102561.0,93906.0,23610.0,27803.0,25217.0,3883.0,1,5,2,2,4
6701,0.0,0.0,43.0,83.0,-264.0,937518.0,90456.0,59775.0,19829.0,5642.0,11552.0,3088.0,1862.0,1,5,2,2,4
7597,0.0,0.0,35.0,88.0,520.0,648596.0,148248.0,55909.0,65510.0,13046.0,13793.0,5628.0,3896.0,1,5,2,2,4
8500,0.0,0.0,27.0,81.0,-263.0,656762.0,160360.0,31775.0,27502.0,14747.0,15210.0,5315.0,1721.0,1,5,2,2,4
9698,0.0,0.0,38.0,81.0,261.0,544643.0,58621.0,39368.0,3635.0,8616.0,11356.0,4479.0,2106.0,1,5,2,2,4
10600,0.0,0.0,40.0,74.0,-71.0,669700.0,75085.0,7536.0,21920.0,10367.0,7420.0,3248.0,1762.0,1,5,2,2,4
11497,0.0,0.0,41.0,64.0,48.0,992423.0,1338190.0,382488.0,180176.0,199586.0,107205.0,70023.0,32077.0,1,5,2,2,4
12703,0.0,0.0,35.0,61.0,-6.0,2403318.0,1871424.0,373584.0,72352.0,95330.0,93572.0,121274.0,12276.0,1,5,2,2,4
13599,0.0,0.0,41.0,57.0,101.0,446919.0,37088.0,12434.0,10969.0,4671.0,11726.0,2374.0,1751.0,1,5,2,2,4
14500,0.0,0.0,37.0,56.0,-9.0,3008777.0,1515973.0,152803.0,293052.0,42201.0,104429.0,115428.0,40172.0,1,5,2,2,4
15699,0.0,0.0,34.0,64.0,101.0,2035438.0,848272.0,565044.0,338426.0,189465.0,70468.0,84167.0,42804.0,1,5,2,2,4
