1298,0.0,0.0,38.0,41.0,-7.0,863343.0,281615.0,1457.0,14455.0,32480.0,9489.0,3752.0,4489.0,0
2199,0.0,0.0,34.0,41.0,65.0,833096.0,30289.0,11355.0,8229.0,7811.0,2653.0,2309.0,963.0,0
3100,0.0,0.0,43.0,48.0,24.0,1437488.0,168943.0,42688.0,8511.0,16148.0,19554.0,7336.0,2803.0,0
4301,0.0,0.0,41.0,50.0,56.0,739626.0,109953.0,39960.0,73921.0,30798.0,17647.0,7675.0,3234.0,0
5202,0.0,0.0,51.0,66.0,178.0,532266.0,257745.0,54198.0,22296.0,17911.0,24691.0,9171.0,4500.0,0
6103,0.0,0.0,60.0,64.0,71.0,2135104.0,425492.0,210436.0,27193.0,35951.0,62947.0,46451.0,22438.0,0
7300,0.0,0.0,70.0,78.0,-125.0,599393.0,8967.0,14908.0,1748.0,5431.0,5781.0,2180.0,746.0,0
8201,0.0,0.0,74.0,74.0,145.0,681089.0,516796.0,203689.0,110812.0,39735.0,90043.0,22264.0,8825.0,0
9099,0.0,0.0,77.0,74.0,69.0,1284309.0,123136.0,24522.0,14615.0,16057.0,14021.0,3538.0,4013.0,0
10300,0.0,0.0,74.0,51.0,-35.0,763276.0,187448.0,7352.0,2130.0,26036.0,15412.0,4776.0,3633.0,0
11201,0.0,0.0,56.0,30.0,33.0,1371957.0,239816.0,19101.0,20066.0,21158.0,15492.0,9136.0,1277.0,0
12102,0.0,0.0,47.0,37.0,118.0,1209635.0,124302.0,103635.0,9934.0,12002.0,9567.0,6069.0,5208.0,0
13303,0.0,0.0,38.0,44.0,-39.0,2055327.0,456873.0,303806.0,70141.0,221680.0,37800.0,40543.0,18228.0,0
14199,0.0,0.0,29.0,64.0,118.0,1578662.0,825199.0,117117.0,187460.0,77112.0,41904.0,20874.0,14588.0,0
15100,0.0,0.0,29.0,67.0,9.0,262306.0,48054.0,8772.0,3364.0,6798.0,3599.0,1786.0,718.0,0
16301,0.0,0.0,43.0,56.0,-85.0,1666807.0,129424.0,25916.0,21152.0,46279.0,20455.0,4470.0,3085.0,0
17202,0.0,0.0,41.0,53.0,90.0,524791.0,195655.0,74042.0,8635.0,19686.0,12855.0,11790.0,5678.0,0
18103,0.0,0.0,40.0,51.0,86.0,669240.0,276050.0,34518.0,53319.0,14873.0,12664.0,4161.0,1849.0,0
